refund_id,order_id,refund_amount,refund_date,refund_reason
209,2282,2431.85,2024-01-10,Delay
210,13515,333.4,2024-06-07,Payment Issue
211,21715,459.65,2024-04-12,Quality Issue
212,24102,974.26,2024-03-24,Delay
213,19000,1424.62,2024-05-02,Quality Issue
214,10463,1944.25,2024-01-08,Quality Issue
215,24826,1982.85,2024-01-04,Quality Issue
216,6816,399.68,2024-03-28,Delay
217,16799,445.13,2024-05-11,Delay
218,7956,2011.16,2024-03-26,Quality Issue
219,4294,1471.26,2024-01-17,Payment Issue
220,6245,1309.78,2024-03-15,Payment Issue
221,22932,2113.5,2024-04-19,Payment Issue
222,4520,573.03,2024-01-31,Payment Issue
223,15260,2036.46,2024-06-08,Delay
224,20015,518.73,2024-06-11,Payment Issue
225,3844,1639.87,2024-06-08,Quality Issue
226,23909,946.75,2024-03-02,Payment Issue
227,22928,503.86,2024-05-11,Quality Issue
228,2852,1158.06,2024-05-05,Quality Issue
229,12571,1314.13,2024-06-10,Delay
230,13074,1283.38,2024-05-28,Delay
231,5816,1155.13,2024-03-23,Quality Issue
232,12592,1105.58,2024-01-31,Quality Issue
233,8158,906.21,2024-03-12,Quality Issue
234,9154,2052.38,2024-01-31,Quality Issue
235,6380,1061.51,2024-02-04,Payment Issue
236,15444,1013.43,2024-03-27,Payment Issue
237,398,2220.73,2024-04-27,Delay
238,6879,422.27,2024-04-20,Delay
239,21804,945.29,2024-05-24,Quality Issue
240,1202,856.97,2024-02-15,Payment Issue
241,6385,2123.25,2024-06-02,Quality Issue
242,8551,1065.23,2024-01-06,Payment Issue
243,517,1465.92,2024-01-27,Delay
244,3589,641.83,2024-03-04,Delay
245,2251,419.21,2024-06-10,Payment Issue
246,18162,2282.41,2024-01-24,Quality Issue
247,1458,1202.52,2024-02-19,Quality Issue
248,4557,2399.08,2024-06-26,Delay
249,7517,2138.41,2024-05-17,Delay
250,20976,1027.88,2024-04-11,Quality Issue
251,18689,1437.17,2024-06-20,Quality Issue
252,13759,2346.21,2024-06-05,Payment Issue
253,3352,1600.45,2024-05-01,Delay
254,19138,2244.24,2024-02-29,Quality Issue
255,2169,1823.92,2024-01-08,Payment Issue
256,22512,2052.99,2024-06-28,Delay
257,5475,904.53,2024-01-30,Quality Issue
258,12137,2272.0,2024-01-24,Payment Issue
259,6600,2028.51,2024-02-19,Payment Issue
260,17356,2424.89,2024-02-23,Quality Issue
261,3190,487.16,2024-03-21,Quality Issue
262,1057,860.67,2024-06-20,Payment Issue
263,16812,2030.75,2024-05-20,Quality Issue
264,20028,977.93,2024-06-25,Delay
265,13170,884.65,2024-06-06,Delay
266,10773,1275.47,2024-04-19,Quality Issue
267,8241,895.76,2024-06-08,Delay
268,4521,1204.59,2024-03-07,Quality Issue
269,5099,1737.12,2024-01-11,Delay
270,13366,624.63,2024-01-15,Payment Issue
271,14418,442.23,2024-04-12,Payment Issue
272,15795,267.0,2024-05-26,Quality Issue
273,24239,587.45,2024-02-28,Payment Issue
274,3635,959.01,2024-04-11,Payment Issue
275,7842,1511.63,2024-02-26,Quality Issue
276,19588,949.51,2024-03-22,Quality Issue
277,23285,1923.04,2024-05-28,Delay
278,853,2338.7,2024-05-24,Quality Issue
279,20729,2000.99,2024-04-15,Quality Issue
280,18009,2465.68,2024-04-30,Delay
281,12432,377.32,2024-05-23,Quality Issue
282,6070,1880.48,2024-06-24,Quality Issue
283,24527,1287.57,2024-07-01,Payment Issue
284,6875,420.59,2024-05-07,Delay
285,24186,1501.59,2024-01-22,Delay
286,24556,1509.45,2024-05-07,Quality Issue
287,5118,1012.55,2024-03-28,Delay
288,19635,1921.73,2024-03-15,Delay
289,15667,2083.43,2024-01-14,Quality Issue
290,2560,1852.68,2024-02-29,Payment Issue
291,23920,2394.42,2024-05-11,Delay
292,2749,1467.73,2024-05-26,Quality Issue
293,11989,1978.6,2024-03-17,Delay
294,18928,1011.23,2024-02-26,Quality Issue
295,6211,1321.83,2024-01-21,Quality Issue
296,9943,2270.51,2024-02-18,Payment Issue
297,20538,973.23,2024-05-28,Payment Issue
298,23809,1122.79,2024-02-10,Delay
299,10629,1243.19,2024-02-07,Quality Issue
300,17289,328.17,2024-05-30,Quality Issue
301,5924,669.73,2024-06-10,Quality Issue
302,18217,2324.17,2024-01-13,Quality Issue
303,8901,2041.67,2024-01-30,Delay
304,18007,750.62,2024-02-28,Delay
305,21114,216.01,2024-03-14,Payment Issue
306,4443,1192.6,2024-04-13,Quality Issue
307,2347,957.31,2024-02-21,Payment Issue
308,2326,1550.11,2024-05-02,Quality Issue
309,284,1070.29,2024-05-02,Delay
310,18359,1176.31,2024-06-18,Delay
311,24769,2311.13,2024-05-03,Payment Issue
312,21300,1875.87,2024-06-02,Quality Issue
313,20020,326.58,2024-06-19,Delay
314,1685,509.4,2024-01-03,Quality Issue
315,6626,1358.69,2024-02-08,Delay
316,17009,1867.04,2024-01-27,Payment Issue
317,4411,1347.05,2024-03-10,Quality Issue
318,8142,2424.2,2024-06-02,Quality Issue
319,8859,1162.42,2024-02-11,Quality Issue
320,23987,1573.57,2024-02-18,Delay
321,11243,1000.43,2024-05-08,Delay
322,16426,232.54,2024-02-13,Quality Issue
323,9654,351.71,2024-05-09,Payment Issue
324,12035,249.17,2024-05-21,Delay
325,22810,2082.23,2024-05-10,Payment Issue
326,21135,1246.5,2024-05-27,Quality Issue
327,12274,1131.85,2024-06-22,Payment Issue
328,10229,727.52,2024-05-29,Delay
329,964,1116.61,2024-05-24,Quality Issue
330,21217,365.33,2024-06-18,Delay
331,12537,238.99,2024-04-01,Payment Issue
332,1104,768.75,2024-04-14,Delay
333,21252,1310.64,2024-01-21,Payment Issue
334,12607,712.24,2024-01-25,Quality Issue
335,3278,2239.02,2024-03-30,Delay
336,627,369.33,2024-01-26,Quality Issue
337,19986,1638.99,2024-01-10,Payment Issue
338,10982,2132.27,2024-03-21,Payment Issue
339,16805,2078.04,2024-05-22,Payment Issue
340,6848,1794.46,2024-04-13,Quality Issue
341,6309,530.1,2024-03-25,Quality Issue
342,5935,1041.64,2024-04-15,Delay
343,15560,1557.71,2024-06-08,Delay
344,20988,834.7,2024-04-29,Delay
345,19450,981.4,2024-06-07,Payment Issue
346,13979,333.26,2024-03-09,Quality Issue
347,23685,2104.48,2024-01-23,Payment Issue
348,22122,2455.55,2024-06-19,Quality Issue
349,3464,1088.48,2024-03-19,Delay
350,10753,1076.96,2024-05-08,Payment Issue
351,8744,641.22,2024-06-20,Quality Issue
352,10671,2428.0,2024-04-16,Delay
353,11925,1878.65,2024-02-15,Payment Issue
354,10423,2064.42,2024-02-03,Delay
355,5497,2423.74,2024-01-03,Delay
356,10373,1910.41,2024-05-08,Payment Issue
357,2085,834.33,2024-01-08,Payment Issue
358,4085,1113.42,2024-03-20,Delay
359,6831,728.54,2024-03-29,Quality Issue
360,8529,1397.28,2024-05-28,Quality Issue
361,2010,295.12,2024-03-30,Payment Issue
362,18519,2133.12,2024-04-28,Payment Issue
363,260,1562.33,2024-01-14,Quality Issue
364,13288,1408.08,2024-02-22,Payment Issue
365,7908,2224.98,2024-04-27,Quality Issue
366,23671,1486.57,2024-04-23,Delay
367,20191,1173.01,2024-02-05,Payment Issue
368,22303,389.51,2024-05-25,Delay
369,22503,451.36,2024-06-16,Delay
370,21590,1458.56,2024-05-03,Delay
371,14983,1448.4,2024-02-07,Payment Issue
372,9827,722.4,2024-02-07,Quality Issue
373,1941,934.49,2024-02-08,Quality Issue
374,10245,1258.94,2024-01-10,Quality Issue
375,13839,561.94,2024-06-18,Quality Issue
376,23120,1404.87,2024-03-10,Payment Issue
377,19408,908.5,2024-01-06,Delay
378,11317,1856.84,2024-05-18,Payment Issue
379,22549,497.66,2024-04-01,Delay
380,3687,852.94,2024-02-18,Quality Issue
381,16511,1699.75,2024-06-18,Payment Issue
382,16544,2033.53,2024-01-23,Delay
383,21461,424.1,2024-06-13,Quality Issue
384,8342,762.33,2024-01-06,Delay
385,8011,1650.72,2024-05-17,Delay
386,5930,1648.95,2024-01-30,Delay
387,10064,2442.66,2024-03-22,Payment Issue
388,2137,2087.19,2024-05-21,Quality Issue
389,20854,1193.6,2024-04-10,Payment Issue
390,17896,1349.05,2024-06-01,Quality Issue
391,1835,876.85,2024-03-06,Payment Issue
392,11064,2321.01,2024-03-28,Delay
393,7091,1309.19,2024-04-22,Payment Issue
394,16398,1812.35,2024-03-27,Delay
395,7707,405.21,2024-03-22,Payment Issue
396,100,1308.85,2024-02-26,Payment Issue
397,23464,2095.75,2024-04-07,Delay
398,13020,645.18,2024-03-27,Payment Issue
399,13996,1126.12,2024-05-15,Quality Issue
400,4158,1310.08,2024-01-19,Delay
401,7720,1574.75,2024-02-14,Delay
402,20580,1090.63,2024-01-15,Quality Issue
403,5628,1167.05,2024-06-25,Quality Issue
404,8159,463.2,2024-06-20,Payment Issue
405,4597,1551.07,2024-03-21,Delay
406,8819,1984.94,2024-06-16,Quality Issue
407,23361,2490.29,2024-04-04,Payment Issue
408,8758,1066.31,2024-01-09,Delay
409,24533,1558.77,2024-03-28,Delay
410,22281,220.49,2024-06-24,Quality Issue
411,24441,1662.25,2024-03-01,Payment Issue
412,8994,1288.68,2024-02-08,Payment Issue
413,10322,1553.35,2024-06-21,Quality Issue
414,15798,1453.04,2024-05-20,Delay
415,3266,1553.98,2024-04-02,Payment Issue
416,18243,604.72,2024-03-22,Payment Issue
417,6562,2340.53,2024-05-06,Delay
418,16277,1457.28,2024-05-14,Quality Issue
419,15833,461.5,2024-02-21,Quality Issue
420,9490,1755.22,2024-05-03,Delay
421,20890,415.97,2024-05-30,Delay
422,6693,2091.17,2024-03-22,Payment Issue
423,19053,1811.44,2024-02-28,Quality Issue
424,21958,1925.13,2024-05-25,Delay
425,6391,916.2,2024-06-22,Payment Issue
426,20834,2070.81,2024-02-12,Quality Issue
427,347,943.48,2024-04-09,Delay
428,8204,1913.87,2024-01-28,Quality Issue
429,19103,2185.93,2024-02-29,Quality Issue
430,9854,1114.93,2024-04-06,Delay
431,11974,2385.57,2024-06-08,Quality Issue
432,251,940.26,2024-01-23,Quality Issue
433,719,2245.18,2024-04-13,Payment Issue
434,24466,697.9,2024-06-28,Quality Issue
435,4098,1724.68,2024-05-01,Quality Issue
436,22647,1985.32,2024-02-14,Payment Issue
437,18639,1227.33,2024-04-28,Quality Issue
438,23825,1260.52,2024-03-25,Quality Issue
439,9356,1916.24,2024-02-05,Delay
440,10230,1762.85,2024-01-28,Delay
441,18184,2310.43,2024-04-06,Delay
442,20046,1040.3,2024-05-20,Delay
443,8030,2494.98,2024-05-16,Quality Issue
444,23262,401.78,2024-06-03,Delay
445,11754,1624.08,2024-03-12,Quality Issue
446,7537,1630.75,2024-02-14,Delay
447,12651,1584.61,2024-02-15,Delay
448,1973,2473.29,2024-06-16,Delay
449,4565,2282.01,2024-04-22,Payment Issue
450,17946,1620.63,2024-03-02,Delay
451,4951,1695.61,2024-04-06,Quality Issue
452,13200,224.15,2024-03-28,Delay
453,9890,621.74,2024-01-10,Payment Issue
454,11215,669.8,2024-05-15,Payment Issue
455,76,1276.9,2024-04-22,Delay
456,1148,513.83,2024-02-15,Quality Issue
457,22395,1603.3,2024-02-28,Quality Issue
458,8023,957.67,2024-05-24,Payment Issue
459,24902,838.02,2024-01-22,Delay
460,35,277.91,2024-03-20,Payment Issue
461,4580,701.18,2024-02-10,Delay
462,2210,2408.2,2024-02-05,Delay
463,20042,2461.27,2024-06-27,Delay
464,8157,1982.62,2024-05-11,Payment Issue
465,17790,2074.31,2024-06-13,Payment Issue
466,5115,1482.81,2024-05-26,Payment Issue
467,16070,2259.02,2024-01-20,Quality Issue
468,9301,1791.95,2024-01-15,Quality Issue
469,7364,1405.97,2024-04-05,Delay
470,24844,1196.26,2024-04-21,Delay
471,5054,1242.94,2024-05-19,Quality Issue
472,14265,1466.12,2024-04-21,Quality Issue
473,10580,1719.14,2024-02-01,Delay
474,11922,615.13,2024-01-05,Quality Issue
475,18949,1448.74,2024-03-14,Quality Issue
476,13011,470.41,2024-01-29,Delay
477,8583,2321.22,2024-05-02,Payment Issue
478,15802,665.43,2024-05-12,Quality Issue
479,9189,1159.01,2024-01-06,Delay
480,3549,877.37,2024-06-04,Payment Issue
481,22422,333.99,2024-01-10,Payment Issue
482,1744,1104.17,2024-01-14,Quality Issue
483,15738,1664.61,2024-01-09,Delay
484,21092,1742.49,2024-03-16,Payment Issue
485,5091,2458.66,2024-02-28,Quality Issue
486,13959,1887.4,2024-04-30,Quality Issue
487,3707,759.62,2024-02-13,Payment Issue
488,9685,276.61,2024-02-21,Payment Issue
489,2389,511.42,2024-06-18,Quality Issue
490,13198,282.25,2024-04-27,Payment Issue
491,24629,727.16,2024-04-07,Delay
492,3954,1921.4,2024-03-16,Payment Issue
493,14525,1207.94,2024-01-18,Quality Issue
494,5743,555.2,2024-03-02,Quality Issue
495,2517,2022.27,2024-03-12,Payment Issue
496,9775,1353.72,2024-06-24,Delay
497,4069,2139.63,2024-06-16,Quality Issue
498,15583,1186.75,2024-06-04,Quality Issue
499,18380,1250.55,2024-02-10,Quality Issue
500,23755,2256.69,2024-02-27,Payment Issue
501,12282,327.78,2024-01-24,Payment Issue
502,17958,1033.37,2024-01-22,Quality Issue
503,7516,1519.47,2024-03-09,Quality Issue
504,3223,1657.59,2024-05-28,Delay
505,18818,928.93,2024-02-01,Quality Issue
506,18037,781.49,2024-03-13,Delay
507,14500,1680.64,2024-06-17,Quality Issue
508,15549,970.4,2024-05-08,Payment Issue
509,15726,1704.76,2024-06-20,Delay
510,21732,1056.54,2024-04-06,Quality Issue
511,24596,2321.64,2024-05-05,Payment Issue
512,14229,2190.27,2024-04-07,Payment Issue
513,5788,1524.09,2024-03-09,Payment Issue
514,6504,334.41,2024-04-30,Payment Issue
515,4974,2468.65,2024-02-20,Quality Issue
516,15506,1623.34,2024-06-20,Quality Issue
517,14931,2295.62,2024-01-22,Delay
518,20548,1433.07,2024-05-18,Delay
519,16489,948.14,2024-02-08,Quality Issue
520,18761,1024.97,2024-05-06,Delay
521,5884,2007.74,2024-03-05,Payment Issue
522,17478,2328.1,2024-01-04,Payment Issue
523,21839,1298.43,2024-03-22,Delay
524,6174,1033.7,2024-04-15,Quality Issue
525,3275,1514.84,2024-04-10,Payment Issue
526,22480,2321.77,2024-01-09,Delay
527,21514,1485.16,2024-02-17,Quality Issue
528,4274,1058.73,2024-03-11,Quality Issue
529,2768,660.28,2024-01-30,Quality Issue
530,2588,709.28,2024-01-17,Payment Issue
531,10949,324.56,2024-02-26,Payment Issue
532,14888,411.61,2024-04-26,Delay
533,12832,249.32,2024-02-11,Payment Issue
534,1484,556.33,2024-02-26,Payment Issue
535,21842,2035.16,2024-04-08,Delay
536,53,2090.9,2024-04-14,Payment Issue
537,15388,2207.57,2024-06-22,Payment Issue
538,15779,983.52,2024-04-01,Payment Issue
539,10597,1241.08,2024-03-11,Quality Issue
540,3048,1841.0,2024-06-05,Payment Issue
541,5534,831.9,2024-06-12,Quality Issue
542,23480,2194.04,2024-03-29,Payment Issue
543,7570,975.72,2024-06-29,Payment Issue
544,20984,1713.01,2024-04-04,Delay
545,18630,900.2,2024-05-30,Payment Issue
546,1457,495.48,2024-05-23,Payment Issue
547,17553,1633.13,2024-07-01,Delay
548,14727,1378.81,2024-04-06,Quality Issue
549,8680,2268.31,2024-01-20,Delay
550,15880,571.59,2024-03-07,Payment Issue
551,11347,1151.03,2024-05-15,Quality Issue
552,22977,599.11,2024-01-12,Payment Issue
553,24611,669.98,2024-03-17,Delay
554,5479,1401.36,2024-03-23,Quality Issue
555,12631,778.01,2024-03-17,Quality Issue
556,4680,1224.12,2024-05-08,Delay
557,18394,247.55,2024-06-18,Payment Issue
558,15169,1136.91,2024-01-14,Quality Issue
559,195,952.82,2024-01-20,Delay
560,22755,1532.06,2024-02-08,Payment Issue
561,19185,2145.39,2024-06-06,Delay
562,10466,1476.54,2024-03-02,Payment Issue
563,5515,528.48,2024-05-30,Delay
564,8640,1726.44,2024-05-09,Payment Issue
565,9887,2448.95,2024-02-11,Quality Issue
566,18819,2420.36,2024-05-15,Quality Issue
567,13062,926.18,2024-06-16,Quality Issue
568,14215,247.1,2024-01-18,Quality Issue
569,9314,1374.31,2024-06-06,Payment Issue
570,6491,908.87,2024-03-09,Payment Issue
571,23058,656.97,2024-02-22,Payment Issue
572,3741,2167.52,2024-02-08,Quality Issue
573,18232,2402.01,2024-06-26,Payment Issue
574,10281,1461.23,2024-03-12,Payment Issue
575,20243,528.36,2024-03-19,Payment Issue
576,3097,1293.7,2024-04-21,Delay
577,15257,2030.14,2024-05-19,Quality Issue
578,231,275.32,2024-03-22,Delay
579,24152,2272.43,2024-04-03,Delay
580,502,461.34,2024-04-03,Payment Issue
581,22863,855.75,2024-06-05,Payment Issue
582,5684,1619.9,2024-04-21,Quality Issue
583,8884,1614.82,2024-04-17,Delay
584,5803,206.36,2024-02-19,Delay
585,3036,743.27,2024-06-20,Payment Issue
586,9402,911.66,2024-04-07,Payment Issue
587,23481,1402.0,2024-04-29,Quality Issue
588,4992,1181.95,2024-06-26,Payment Issue
589,6523,2407.57,2024-06-27,Delay
590,6889,923.49,2024-02-19,Delay
591,20708,2479.66,2024-05-02,Payment Issue
592,5928,1778.03,2024-03-27,Payment Issue
593,1115,1807.66,2024-02-20,Delay
594,17549,2266.87,2024-02-19,Payment Issue
595,17476,779.23,2024-01-03,Delay
596,7305,2012.81,2024-02-09,Delay
597,6727,1261.93,2024-05-24,Delay
598,15974,1644.77,2024-02-24,Payment Issue
599,15984,2356.29,2024-01-25,Delay
600,1247,2066.65,2024-02-24,Quality Issue
601,3489,443.35,2024-02-14,Delay
602,15594,1243.73,2024-06-12,Delay
603,20062,1071.03,2024-02-22,Delay
604,15819,853.97,2024-06-01,Payment Issue
605,6129,2097.44,2024-02-09,Payment Issue
606,429,615.58,2024-03-29,Delay
607,4179,2100.66,2024-03-22,Payment Issue
608,23428,449.33,2024-03-07,Quality Issue
609,10713,1298.81,2024-06-02,Quality Issue
610,19530,2029.41,2024-02-16,Payment Issue
611,11713,2377.75,2024-05-27,Quality Issue
612,4725,1574.22,2024-04-19,Delay
613,2120,935.41,2024-02-05,Delay
614,20401,1036.5,2024-03-12,Delay
615,11179,1723.41,2024-06-02,Quality Issue
